"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2014","11,187.80","11,192.40","11,249.40","11,158.80","222.99M","0.68%"
"Jun 20, 2014","11,155.10","11,174.90","11,215.80","11,142.60","385.51M","-0.29%"
"Jun 23, 2014","11,118.30","11,163.40","11,185.10","11,093.90","176.42M","-0.33%"
"Jun 24, 2014","11,105.90","11,147.60","11,168.80","11,082.50","183.08M","-0.11%"
"Jun 25, 2014","10,966.70","11,058.10","11,069.50","10,890.20","340.43M","-1.25%"
"Jun 26, 2014","10,989.00","11,006.00","11,046.40","10,910.80","237.04M","0.20%"
"Jun 27, 2014","10,959.90","11,010.20","11,059.80","10,924.20","172.85M","-0.26%"
"Jun 30, 2014","10,923.50","10,975.60","10,996.30","10,850.60","198.88M","-0.33%"
"Jul 01, 2014","11,007.80","10,954.50","11,007.80","10,911.90","271.83M","0.77%"
"Jul 02, 2014","11,016.20","11,009.00","11,037.50","10,955.20","206.19M","0.08%"
"Jul 03, 2014","11,090.00","11,001.70","11,100.20","10,958.10","231.68M","0.67%"
"Jul 04, 2014","11,009.40","11,082.70","11,084.00","11,004.80","151.36M","-0.73%"
"Jul 07, 2014","10,888.50","10,986.00","11,005.20","10,874.50","159.94M","-1.10%"
"Jul 08, 2014","10,689.10","10,898.70","10,920.90","10,663.00","348.81M","-1.83%"
"Jul 09, 2014","10,746.90","10,736.40","10,771.00","10,680.90","264.37M","0.54%"
"Jul 10, 2014","10,533.60","10,743.60","10,743.60","10,423.60","378.31M","-1.98%"
"Jul 11, 2014","10,538.80","10,563.70","10,681.50","10,489.80","240.40M","0.05%"
"Jul 14, 2014","10,606.30","10,602.50","10,640.00","10,526.60","189.42M","0.64%"
"Jul 15, 2014","10,475.90","10,545.10","10,581.40","10,427.70","246.84M","-1.23%"
"Jul 16, 2014","10,668.40","10,522.20","10,680.20","10,496.60","225.51M","1.84%"
"Jul 17, 2014","10,543.30","10,617.60","10,643.00","10,507.80","208.17M","-1.17%"
"Jul 18, 2014","10,527.00","10,477.50","10,527.00","10,425.30","201.07M","-0.15%"
"Jul 21, 2014","10,482.00","10,521.70","10,530.60","10,447.60","156.59M","-0.43%"
"Jul 22, 2014","10,648.90","10,531.00","10,667.90","10,504.70","231.98M","1.59%"
"Jul 23, 2014","10,659.10","10,624.20","10,700.00","10,604.80","213.23M","0.10%"
"Jul 24, 2014","10,860.70","10,668.30","10,860.70","10,618.10","335.62M","1.89%"
"Jul 25, 2014","10,888.10","10,839.60","10,941.90","10,832.10","273.05M","0.25%"
"Jul 28, 2014","10,879.80","10,940.50","10,963.90","10,801.60","200.63M","-0.08%"
"Jul 29, 2014","10,901.20","10,901.60","10,964.30","10,854.20","199.82M","0.20%"
"Jul 30, 2014","10,937.40","10,927.80","11,016.10","10,888.60","241.84M","0.33%"
"Jul 31, 2014","10,707.20","10,934.90","10,943.90","10,663.30","302.66M","-2.10%"
"Aug 01, 2014","10,514.00","10,682.80","10,701.40","10,478.30","297.75M","-1.80%"
"Aug 04, 2014","10,496.20","10,585.80","10,589.40","10,463.90","206.95M","-0.17%"
"Aug 05, 2014","10,353.80","10,524.70","10,534.70","10,314.40","258.78M","-1.36%"
"Aug 06, 2014","10,246.20","10,282.00","10,330.30","10,121.50","306.36M","-1.04%"
"Aug 07, 2014","10,078.60","10,235.80","10,258.90","10,049.90","321.04M","-1.64%"
"Aug 08, 2014","10,104.80","9,981.20","10,183.00","9,946.90","274.09M","0.26%"
"Aug 11, 2014","10,193.50","10,226.60","10,245.70","10,148.60","173.37M","0.88%"
