"","price","amount"
"258","10337.09000000","0.11900000"
"259","10337.10000000","0.01045500"
"260","10337.14000000","0.00193800"
"261","10337.29000000","0.01045500"
"262","10337.39000000","0.01045500"
"263","10337.60000000","0.01044200"
"264","10337.74000000","0.00114400"
"265","10338.00000000","0.07327900"
"266","10338.15000000","0.01046800"
"267","10338.28000000","0.02190000"
"268","10338.53000000","0.01000000"
"269","10338.80000000","0.08800000"
"270","10339.00000000","0.08464200"
"271","10339.30000000","0.00126300"
"272","10339.34000000","0.01000000"
"273","10339.64000000","0.01000000"
"274","10340.00000000","0.95684700"
"275","10340.02000000","0.01000000"
"276","10340.89000000","0.11650700"
"277","10341.00000000","0.46551000"
"278","10341.17000000","0.00105900"
"279","10341.24000000","0.01000000"
"280","10341.33000000","0.09000000"
"281","10341.40000000","0.07000000"
"282","10341.95000000","0.00500000"
"283","10342.00000000","0.22755600"
"284","10342.82000000","0.00379800"
"285","10342.83000000","0.01043000"
"286","10342.85000000","0.00424100"
"287","10342.93000000","0.01043000"
"288","10343.00000000","10.54045900"
"289","10343.01000000","4.50490000"
"290","10343.03000000","0.00400000"
"291","10343.13000000","0.00155700"
"292","10343.22000000","0.00160100"
"293","10343.24000000","0.56640000"
"294","10343.28000000","0.01093600"
"295","10343.33000000","0.00100000"
"296","10343.44000000","0.00400000"
"297","10343.47000000","0.00300000"
"298","10343.50000000","0.00130400"
"299","10343.51000000","0.00407000"
"300","10343.81000000","0.00106400"
"301","10343.96000000","0.11638400"
"302","10343.98000000","0.01933500"
"303","10344.00000000","0.50283200"
"304","10344.07000000","0.00110600"
"305","10344.19000000","0.00386700"
"306","10344.23000000","0.00129900"
"307","10344.32000000","0.36769600"
"308","10344.40000000","0.00312000"
"309","10344.44000000","0.00144300"
"310","10344.66000000","0.01000000"
"311","10344.74000000","0.00290100"
"312","10344.75000000","0.00400000"
"313","10344.77000000","0.00145300"
"314","10344.82000000","0.00110000"
"315","10344.89000000","0.00100000"
"316","10344.94000000","0.05193000"
"317","10344.95000000","0.00128000"
"318","10345.00000000","3.47542800"
"319","10345.04000000","0.00341300"
"320","10345.36000000","0.00166700"
"321","10345.39000000","0.55000000"
"322","10345.42000000","0.00118800"
"323","10345.50000000","0.00638800"
"324","10345.52000000","0.01084700"
"325","10345.57000000","0.00101300"
"326","10345.60000000","0.00481400"
"327","10345.63000000","0.12730100"
"328","10345.67000000","0.00251300"
"329","10345.68000000","0.00494000"
"330","10345.69000000","0.23895700"
"331","10345.88000000","0.00112200"
"332","10345.98000000","0.00230300"
"333","10346.00000000","0.00290400"
"334","10346.15000000","0.00200000"
"335","10346.18000000","0.00218600"
"336","10346.24000000","0.01000000"
"337","10346.33000000","0.00146700"
"338","10346.38000000","0.56612300"
"339","10346.39000000","0.00195000"
"340","10346.50000000","2.40700000"
"341","10346.71000000","0.00097300"
"342","10346.72000000","0.00350100"
"343","10346.89000000","3.04175100"
"344","10347.00000000","2.94274800"
"345","10347.22000000","0.00525100"
"346","10347.36000000","0.01000000"
"347","10347.40000000","0.00097600"
"348","10347.79000000","0.00174900"
"349","10347.85000000","0.87784300"
"350","10347.86000000","0.02556900"
"351","10348.00000000","0.18165000"
"352","10348.02000000","0.01963700"
"353","10348.07000000","0.01064800"
"354","10348.17000000","2.00098200"
"355","10348.31000000","0.00134800"
"356","10348.49000000","0.00098200"
"357","10348.57000000","0.00138200"
"358","10348.79000000","0.00938900"
"359","10348.80000000","0.10000000"
"360","10348.87000000","0.00524100"
"361","10348.94000000","0.04975600"
"362","10348.98000000","0.00212400"
"363","10349.00000000","1.26571700"
"364","10349.06000000","0.00540700"
"365","10349.17000000","0.00097700"
"366","10349.49000000","0.07856600"
"367","10349.50000000","0.00211400"
"368","10349.52000000","0.12489000"
"369","10349.69000000","0.50000000"
"370","10349.79000000","0.10000000"
"371","10349.88000000","0.66999900"
"372","10349.89000000","0.44066400"
"373","10349.90000000","0.08946900"
"374","10349.91000000","0.21737000"
"375","10349.98000000","0.08582100"
"376","10350.00000000","193.02164400"
"377","10350.05000000","0.00106300"
"378","10350.06000000","0.00357600"
"379","10350.12000000","0.00497400"
"380","10350.15000000","0.00106300"
"381","10350.32000000","0.02544400"
"382","10350.34000000","0.00348400"
"383","10350.40000000","0.00177900"
"384","10350.43000000","0.00600000"
"385","10350.47000000","0.04669400"
"386","10350.50000000","0.00949500"
"387","10350.51000000","0.04932500"
"388","10350.53000000","0.01000000"
"389","10350.54000000","0.04647300"
"390","10350.60000000","2.00150500"
"391","10350.61000000","0.00128000"
"392","10350.62000000","0.05000000"
"393","10350.68000000","0.00158600"
"394","10350.74000000","0.01914600"
"395","10350.79000000","0.09296500"
"396","10350.81000000","0.27651600"
"397","10350.86000000","0.00118600"
