"","price","amount"
"294","10260.33000000","0.00099600"
"295","10260.01000000","0.02721700"
"296","10260.00000000","0.07807700"
"297","10259.89000000","0.00503900"
"298","10259.59000000","0.00119500"
"299","10259.57000000","0.00203500"
"300","10259.52000000","0.01223200"
"301","10259.50000000","0.00110300"
"302","10259.44000000","0.01223200"
"303","10259.24000000","0.01386500"
"304","10259.10000000","0.01230300"
"305","10259.00000000","0.04393400"
"306","10258.95000000","0.01226200"
"307","10258.84000000","0.01226200"
"308","10258.77000000","0.01171700"
"309","10258.73000000","0.00467600"
"310","10258.43000000","0.01226200"
"311","10258.27000000","0.01000000"
"312","10258.24000000","0.01224700"
"313","10258.00000000","0.09866700"
"314","10257.87000000","0.01000000"
"315","10257.80000000","0.03829400"
"316","10257.78000000","0.00526900"
"317","10257.77000000","0.01093500"
"318","10257.68000000","0.00160800"
"319","10257.47000000","0.01098100"
"320","10257.41000000","0.01838600"
"321","10257.31000000","0.00110000"
"322","10257.14000000","0.00424100"
"323","10257.06000000","0.01247000"
"324","10256.83000000","0.00127000"
"325","10256.74000000","0.01201600"
"326","10256.71000000","0.02598000"
"327","10256.66000000","0.00300000"
"328","10256.60000000","0.03271000"
"329","10256.45000000","0.00263800"
"330","10256.44000000","0.00491000"
"331","10256.41000000","0.00100000"
"332","10256.36000000","0.01014000"
"333","10256.20000000","9.92805600"
"334","10256.07000000","0.00167700"
"335","10256.01000000","0.27581900"
"336","10255.90000000","0.00208900"
"337","10255.60000000","0.00415700"
"338","10255.50000000","0.00557200"
"339","10255.31000000","0.01216600"
"340","10255.25000000","0.00343100"
"341","10255.10000000","0.00179700"
"342","10255.04000000","0.01269200"
"343","10255.00000000","0.06089800"
"344","10254.98000000","0.00334300"
"345","10254.89000000","0.00350100"
"346","10254.83000000","0.00194800"
"347","10254.79000000","0.01269200"
"348","10254.77000000","0.03816000"
"349","10254.61000000","0.00118700"
"350","10254.54000000","0.01133300"
"351","10254.29000000","0.00192700"
"352","10254.23000000","0.09722700"
"353","10254.01000000","0.01649300"
"354","10254.00000000","0.00637300"
"355","10253.54000000","0.01095700"
"356","10253.16000000","0.00150000"
"357","10253.00000000","0.01275900"
"358","10252.94000000","0.03339200"
"359","10252.80000000","0.01275900"
"360","10252.71000000","0.00152200"
"361","10252.69000000","0.01266900"
"362","10252.44000000","0.01000000"
"363","10252.31000000","0.01257800"
"364","10252.30000000","0.05000000"
"365","10252.00000000","0.02582600"
"366","10251.60000000","2.01676000"
"367","10251.52000000","0.00102100"
"368","10251.36000000","0.01959900"
"369","10251.29000000","0.01270700"
"370","10251.22000000","0.00127100"
"371","10251.14000000","0.00905700"
"372","10251.13000000","5.49000000"
"373","10251.00000000","1.17130200"
"374","10250.90000000","0.00144200"
"375","10250.79000000","0.35390900"
"376","10250.74000000","0.00123400"
"377","10250.35000000","0.00975500"
"378","10250.31000000","0.00119600"
"379","10250.26000000","0.00840900"
"380","10250.20000000","0.00111200"
"381","10250.19000000","0.05000000"
"382","10250.05000000","0.00101800"
"383","10250.03000000","0.00443400"
"384","10250.02000000","0.18040900"
"385","10250.00000000","10.14244400"
"386","10249.91000000","0.00498700"
"387","10249.82000000","0.01272400"
"388","10249.50000000","0.00112500"
"389","10249.45000000","0.01272400"
"390","10249.00000000","0.71820400"
"391","10248.78000000","0.01272400"
"392","10248.76000000","0.00984700"
"393","10248.70000000","0.00107300"
"394","10248.41000000","0.03676600"
"395","10248.31000000","0.00156600"
"396","10248.26000000","0.00625100"
"397","10248.13000000","0.00160100"
"398","10248.11000000","0.00312700"
"399","10248.04000000","0.02000000"
"400","10248.01000000","0.77012600"
"401","10248.00000000","0.98617200"
"402","10247.95000000","0.00325300"
"403","10247.05000000","0.00441600"
"404","10246.76000000","0.00110400"
"405","10246.73000000","0.00113100"
"406","10246.59000000","0.00107400"
"407","10246.39000000","0.00862700"
"408","10246.21000000","0.00652600"
"409","10246.19000000","0.00113100"
"410","10246.04000000","0.00194900"
"411","10246.00000000","0.09120000"
"412","10245.74000000","0.00117600"
"413","10245.62000000","0.00127100"
"414","10245.61000000","0.00120700"
"415","10245.55000000","0.00527600"
"416","10245.40000000","0.00343400"
"417","10245.21000000","0.00533000"
"418","10245.00000000","1.08475500"
"419","10244.90000000","0.28717800"
"420","10244.89000000","0.02375800"
"421","10244.81000000","0.00770700"
"422","10244.72000000","0.00178100"
"423","10244.70000000","0.00976300"
"424","10244.69000000","0.04434400"
"425","10244.67000000","0.00167900"
"426","10244.60000000","0.00542700"
"427","10244.47000000","0.01330400"
"428","10244.37000000","0.00209400"
"429","10244.03000000","0.00612000"
"430","10243.83000000","0.00106600"
"431","10243.15000000","1.88100000"
"432","10242.87000000","0.15006600"
"433","10242.74000000","0.12411800"
"434","10242.56000000","0.00409900"
"435","10242.50000000","0.00400000"
"436","10242.38000000","0.00102200"
"437","10242.18000000","0.00840300"
"438","10242.05000000","0.03416900"
"439","10242.01000000","0.01286500"
"440","10242.00000000","0.93475500"
"441","10241.63000000","0.01286500"
"442","10241.50000000","0.00302700"
"443","10241.49000000","0.00632200"
"444","10241.39000000","0.04247400"
"445","10241.30000000","0.00135600"
"446","10241.28000000","0.01286500"
"447","10241.21000000","0.02573000"
"448","10241.04000000","0.00119700"
"449","10240.81000000","0.00146400"
"450","10240.70000000","0.01300700"
"451","10240.66000000","0.01835500"
"452","10240.59000000","0.01296000"
"453","10240.50000000","0.01000000"
"454","10240.40000000","0.01677000"
"455","10240.39000000","0.00196200"
"456","10240.18000000","0.01306700"
"457","10240.10000000","0.01132000"
"458","10240.02000000","0.00127200"
"459","10240.00000000","2.60054400"
"460","10239.99000000","0.00105300"
"461","10239.91000000","0.00239300"
"462","10239.82000000","0.01313600"
"463","10239.79000000","0.04077100"
"464","10239.58000000","0.00125600"
"465","10239.44000000","0.00780000"
"466","10239.37000000","0.01314000"
"467","10239.00000000","1.37117200"
"468","10238.93000000","0.02039900"
"469","10238.88000000","0.01322000"
"470","10238.67000000","0.00502200"
"471","10238.62000000","0.00326800"
"472","10238.49000000","0.00218600"
"473","10238.39000000","0.01328100"
"474","10238.38000000","0.01000000"
"475","10238.30000000","0.01000000"
"476","10238.05000000","0.00374000"
"477","10237.97000000","0.00765400"
"478","10237.73000000","0.01828100"
"479","10237.64000000","0.00836200"
"480","10237.44000000","0.01328100"
"481","10237.27000000","0.01333100"
"482","10237.26000000","0.00195100"
"483","10237.18000000","0.00867600"
"484","10237.16000000","0.00602400"
"485","10237.00000000","0.01521400"
"486","10236.96000000","5.99100000"
"487","10236.93000000","0.00117100"
"488","10236.92000000","0.00575300"
"489","10236.84000000","0.00578400"
"490","10236.48000000","0.00195300"
"491","10236.42000000","0.00225600"
"492","10236.41000000","0.00671300"
"493","10236.35000000","2.00000000"
"494","10236.31000000","0.01336500"
"495","10236.18000000","0.01339900"
"496","10236.12000000","0.00944500"
"497","10236.01000000","0.02367300"
"498","10236.00000000","1.37288100"
"499","10235.91000000","0.25000000"
"500","10235.88000000","0.01338600"
"501","10235.81000000","0.01339900"
"502","10235.73000000","0.00120000"
"503","10235.71000000","0.60000000"
"504","10235.61000000","0.01345600"
"505","10235.57000000","0.00343700"
"506","10235.47000000","0.00404900"
"507","10235.29000000","0.01000000"
"508","10235.28000000","0.01349100"
"509","10235.13000000","0.00157500"
"510","10235.10000000","0.00924200"
"511","10235.00000000","0.02250000"
"512","10234.99000000","0.02000000"
"513","10234.88000000","0.00549300"
"514","10234.81000000","0.01350700"
"515","10234.78000000","0.00300000"
"516","10234.71000000","0.01312400"
"517","10234.69000000","0.00312400"
"518","10234.68000000","0.00350500"
"519","10234.50000000","0.00215300"
"520","10234.43000000","0.00127300"
"521","10234.34000000","0.00572800"
"522","10234.21000000","0.01357600"
"523","10234.14000000","0.01259200"
"524","10234.03000000","0.00110600"
"525","10233.94000000","0.00877900"
"526","10233.83000000","0.01623600"
"527","10233.82000000","0.00100000"
"528","10233.78000000","0.01641500"
"529","10233.66000000","0.01000000"
"530","10233.58000000","0.01357600"
"531","10233.33000000","0.00415700"
"532","10233.31000000","0.00109500"
"533","10233.28000000","0.00168000"
"534","10233.24000000","0.00102300"
"535","10233.22000000","0.01366100"
"536","10233.19000000","0.01000000"
"537","10233.03000000","0.01366100"
"538","10233.00000000","1.39071700"
"539","10232.80000000","0.01364400"
"540","10232.74000000","0.00113200"
"541","10232.60000000","0.01371300"
"542","10232.49000000","0.00117200"
"543","10232.37000000","0.01374800"
"544","10232.20000000","0.01378200"
"545","10232.00000000","0.00293200"
"546","10231.88000000","0.01373100"
"547","10231.77000000","0.00119800"
"548","10231.75000000","0.00119900"
"549","10231.71000000","0.01373100"
"550","10231.28000000","0.01373100"
"551","10231.00000000","0.02560200"
"552","10230.63000000","0.02000000"
"553","10230.62000000","0.00195400"
"554","10230.50000000","0.04388100"
"555","10230.47000000","0.00357600"
"556","10230.39000000","0.01848500"
"557","10230.32000000","0.01158700"
"558","10230.06000000","0.00351000"
"559","10230.00000000","2.40243600"
"560","10229.92000000","0.01010300"
"561","10229.81000000","0.19550700"
"562","10229.59000000","0.00111200"
"563","10229.34000000","0.01389700"
"564","10229.28000000","0.01000000"
"565","10229.23000000","0.00309600"
"566","10228.99000000","0.00400000"
"567","10228.83000000","0.00127300"
"568","10228.67000000","0.01386600"
"569","10228.58000000","0.01389700"
"570","10228.57000000","0.00724100"
"571","10228.50000000","0.00195300"
"572","10228.28000000","0.01395000"
"573","10228.14000000","0.01222600"
"574","10228.00000000","0.00819200"
"575","10227.93000000","0.00250000"
"576","10227.84000000","0.00150000"
"577","10227.82000000","0.01362700"
"578","10227.47000000","0.00109700"
"579","10227.36000000","0.00410200"
"580","10227.32000000","0.00124500"
"581","10227.22000000","0.00152800"
"582","10227.19000000","0.01405500"
"583","10227.16000000","0.00120900"
"584","10227.11000000","0.01400200"
"585","10226.99000000","0.01407300"
"586","10226.80000000","0.01405600"
"587","10226.70000000","0.00000400"
"588","10226.69000000","0.00107500"
"589","10226.51000000","0.01638800"
"590","10226.42000000","0.00100000"
"591","10226.41000000","0.01409100"
"592","10226.35000000","0.00195600"
"593","10226.29000000","0.00126500"
"594","10226.16000000","0.00130800"
"595","10226.11000000","0.01103300"
"596","10225.75000000","0.00344100"
"597","10225.36000000","0.05002000"
"598","10225.28000000","0.02023700"
"599","10225.03000000","0.00170000"
"600","10225.00000000","0.00640300"
"601","10224.98000000","0.00366000"
"602","10224.89000000","0.01399800"
"603","10224.84000000","0.00146200"
"604","10224.74000000","0.00501600"
"605","10224.72000000","0.01416300"
"606","10224.62000000","0.00097900"
"607","10224.54000000","0.00444300"
"608","10224.41000000","0.00129900"
"609","10224.28000000","0.00335300"
"610","10224.12000000","0.00102400"
"611","10224.11000000","0.01965100"
"612","10224.00000000","0.04000000"
"613","10223.88000000","0.02138300"
"614","10223.87000000","0.01438700"
"615","10223.84000000","0.01417000"
"616","10223.82000000","0.00440100"
"617","10223.70000000","0.00308700"
"618","10223.63000000","0.01438700"
"619","10223.52000000","0.00305900"
"620","10223.51000000","0.00528700"
"621","10223.50000000","0.01433300"
"622","10223.49000000","0.00264000"
"623","10223.37000000","0.01000900"
"624","10223.35000000","0.00125300"
"625","10223.24000000","0.00127400"
"626","10223.20000000","0.00339600"
"627","10223.07000000","0.00110000"
"628","10223.05000000","0.01444500"
"629","10223.00000000","0.03829800"
"630","10222.86000000","0.01442700"
"631","10222.77000000","0.00949800"
